Date,Content,Source,Sentiment
2 weeks ago,"Green hydrogen is hydrogen gas produced through electrolysis of water — an 
energy intensive process for splitting water into hydrogen and oxygen— 
using...",https://indianexpress.com/article/explained/explained-green-hydrogen-policy-7779679/,0.5498944520950317
2 weeks ago,"The policy offers a range of incentives to entice investors to bet on the 
development and deployment of green ammonia and green hydrogen — the new 
age fuel that...",https://www.moneycontrol.com/news/opinion/green-hydrogen-policy-could-become-a-game-changer-for-indias-energy-security-8128521.html,0.9968473315238953
2 weeks ago,"Green hydrogen, produced using renewable energy, has some of the best 
environmental credentials among cleaner-burning fuels. The zero-carbon fuel 
is made using...",https://www.reuters.com/business/energy/india-plans-produce-5-mln-tonnes-green-hydrogen-by-2030-2022-02-17/,0.9992026686668396
1 month ago,"Hyperion Companies, Inc., a green hydrogen technology company, is moving 
its headquarters from Southern California to a 65-acre facility on the west 
side of...",https://pv-magazine-usa.com/2022/02/01/fuel-cell-manufacturer-moves-hq-to-green-hydrogen-hub-in-ohio/,0.9628498554229736
2 weeks ago,"Therefore, it is vital to produce hydrogen without that generation process 
itself emitting greenhouse gases. Hydrogen produced in this fashion is 
called green...",https://www.livemint.com/opinion/online-views/why-green-hydrogen-is-the-future-of-energy-11645594317979.html,0.9581072330474854
4 weeks ago,"That makes green hydrogen the cleanest option – hydrogen from renewable 
energy sources without CO2 as a by-product. Green hydrogen is defined as 
hydrogen...",https://swarajyamag.com/infrastructure/indias-hydrogen-economy-the-story-in-mission-mode,0.9930847883224487
3 weeks ago,"Green hydrogen is seen as a potential catalyst of the world's shift to 
sustainable energy and net zero emissions to tame global warming and 
climate change.",https://www.moneycontrol.com/news/business/exclusive-nitin-gadkari-green-hydrogen-is-the-fuel-of-the-future-aim-to-export-it-to-the-world-8071331.html,0.9966579675674438
6 days ago,"The Green Hydrogen Policy notified on February 17 is another step by India 
to meet its climate targets. It is part of the National Hydrogen Mission...",https://economictimes.indiatimes.com/opinion/et-commentary/what-india-should-do-to-become-a-leader-in-green-hydrogen/articleshow/89907505.cms,0.9479259252548218
3 weeks ago,"“The easiest way to produce hydrogen is just to pass electricity through 
water,” he says. “And if you generate the electricity with clean renewable 
energy like...",https://yaleclimateconnections.org/2022/02/the-difference-between-gray-blue-and-green-hydrogen/,0.9895502924919128
2 weeks ago,"The National Hydrogen Mission aims to facilitate production of 5 (five) 
million tonnes of green hydrogen by 2030 and the related development of 
renewable energy...",https://www.mondaq.com/india/renewables/1164022/green-hydrogen-policy-a-step-towards-india39s-energy-transition,0.9942421317100525
2022-03-07 15:25:38+00:00,"RT @DrGrahamCooley: ""Centrica is set to support National Grid to establish methods for injecting green #hydrogen into the National Transmis…",NiclasVestlund,0.5701483488082886
2022-03-07 15:25:20+00:00,@elonmusk Only nuclear energy is truely green energy. Liquid nuclear fuel reactors. Like those from 1947 that do not use water in the reactor. Water is too dangerous because Gama radiation splits water into hydrogen and oxygen which caused the explosions in Fukushima and Tschernobyl.,SchumannAndy,0.9841861128807068
2022-03-07 15:23:50+00:00,"""Centrica is set to support National Grid to establish methods for injecting green #hydrogen into the National Transmission System (NTS)."" #renewableenergy #renewables #sustainability #greentech https://t.co/a9xSO0w9PE",DrGrahamCooley,0.9163303971290588
2022-03-07 15:23:50+00:00,"Green hydrogen is the tech of choice in every developed country except Canada.
And don't let Canadian ""greens"" mislead you, batteries are not the answer and there are no skilled jobs for you.
With hydrogen all the skilled jobs are the same.
Canadian provinces are perfectly ...",wyldcdn,0.9965261816978455
2022-03-07 15:23:45+00:00,"@joferts @NASAGoddard @NASAHubble The color in this image is likely using the traditional Hubble Palette. 
Sulfur II, Hydrogen Alpha and Oxygen III emissions are respectively mapped to red, green and blue channels. This accentuates the features of the nebula, but it is a false color image.",AstroPythagoras,0.9935737252235413
2022-03-07 15:23:42+00:00,Coal mines to play a role in the generation of green hydrogen! 🇧🇪 companies are looking into a new process which will yield several benefits. #BETech   🔗 https://t.co/0yS8qYFIWv,BelgiumPretoria,0.9823566675186157
2022-03-07 15:22:50+00:00,"RT @TeslaOpinion: Massive renewable energy projects currently planned give some hope. 

$36 billion Asian Renewable Energy Hub:

- 26GW of…",lifewpenelope,0.9820352792739868
